Supplier Name,Country Code,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
Imperial Tobacco,GRP-IMS-1001302,Z Interautomatica,48,Prizrak Brigade,45,Interavtomatika,45,Somali Battalion,44,Russia Bank,44
Jaspers Corporate Catering,GRP-IMS-1001219,Separate Artillery Brigade of the 1st Army Corps,49,State enterprise Universal Avia,46,Smert Battalion,44,Oplot Battalion,44,Sparta Battalion,43
Hitachi Consulting,GRP-IMS-1001303,United Shipbuilding,49,Luhansk Economic Union,45,Donetsk Republic,41,Prizrak Battalion Ghost Brigade,41,Tactical Missiles,40
Janus Safety Solutions,GRP-IMS-1001220,Kalmius Battalion,51,Army of the Southeast,47,Army of the South East,45,Peace To Luhansk Region,44,Death Battalion,43
Idea Science,GRP-IMS-1001304,First Crimean Insurance,51,Death Battalion,44,Mir Luganschine,44,Tactical Missiles,41,Industrial Savings Bank,40
IW Group Services,GRP-IMS-1001221,ORIENTAL REVIEW,44,Rostec,43,GEOPOLITICA,43,Sberbank of Russia,40,Internet Research Agency,39
ICSA SOFTWARE,GRP-IMS-1001305,Bank Otkritie Financial,44,Mostotrest,43,United Aircraft,43,Free Donbas,42,558 Aircraft Repair Plant,42
Irwin Auto IT,GRP-IMS-1001222,ROSNEFT AERO,48,Sparkling Wine Plant Novy Svet,47,Z Interautomatica,47,United Shipbuilding,44,Death Battalion,43
IBM UK Financial Services,GRP-IMS-1001306,Bank Otkritie Financial,50,ORIENTAL REVIEW,45,Tactical Missiles,43,Industrial Savings Bank,42,Smert Battalion,40
Iron Mountain,GRP-IMS-1001223,Somali Battalion,48,Chernomorneftegaz,47,Narodny Soyuz,46,Smert Battalion,43,Oplot Battalion,43
Rapier,GRP-IMS-1001307,TPE,44,ROSNEFT AERO,44,Otkritie,43,RDIF,40,Smert Battalion,38
i2 Office,GRP-IMS-1001308,First Crimean Insurance,38,O VO TPE,35,Bank of Russia,35,Otkritie,35,Mir Luganschine,33
6net,GRP-IMS-1001224,Unit 08806,43,ROSNEFT AERO,38,Dobrolet,33,VTB Bank,33,Integral,33
HSBC Equity Capital,GRP-IMS-1001309,Death Battalion,47,Bank Otkritie Financial,43,Smert Battalion,41,Battalion Gvardeysky,41,United Aircraft,41
Inzito Partnership,GRP-IMS-1001225,United Shipbuilding,43,Interavtomatika,42,United Aircraft,42,Sparta Battalion,41,Z Interautomatica,40
EntServ,GRP-IMS-1001310,Integral,53,Interavtomatika,45,ORIENTAL REVIEW,45,ROSNEFT AERO,42,Sberbank,40
Hough HR,GRP-IMS-1001311,Mir Luganschine,43,Army of the Southeast,34,Army of the South East,33,Free Donbas,32,So called Lugansk Guard,32
Horrex Cole,GRP-IMS-1001312,Dobrolet,53,O VO TPE,42,Dobrolyot,40,People s Union,40,Lenpromtransproyekt,40
Investis,GRP-IMS-1001226,Interavtomatika,43,Vostok Battalion,42,Z Interautomatica,40,IS Bank,40,Tactical Missiles,40
Horwood House,GRP-IMS-1001313,Narodny Soyuz,46,Svobodny Donbass,41,ROSNEFT AERO,40,ZELENODOLSK SHYARD,39,Dobrolet,38
INVERCARSE HOTEL,GRP-IMS-1001227,Feodosia Enterprise of oil,48,Interavtomatika,45,O VO TPE,42,Integral,42,NEW EASTERN OUTLK,42
Hogan Lovells International,GRP-IMS-1001314,Industrial Savings Bank,52,Russian National Commercial Bank,51,Z Interavtomatika IA,51,Cossack National Guard,49,International Union of Public Associations Great Don Army,48
Interoute Communications,GRP-IMS-1001228,Z Interautomatica,59,Interavtomatika,56,Z Interavtomatika IA,50,People s Union,47,Smert Battalion,46
Hive Learning,GRP-IMS-1001315,VEB RF,42,Luhansk Economic Union,40,Chernomorneftegaz,40,IS Bank,40,NEW EASTERN OUTLK,40
Intrado Digial Media,GRP-IMS-1001229,Interavtomatika,51,Z Interavtomatika IA,50,Industrial Savings Bank,47,Prizrak Brigade,46,ORIENTAL REVIEW,46
HICRON GBP,GRP-IMS-1001316,People s Union,42,Free Donbas,38,VO TPE,38,GEOPOLITICA,38,Chernomorneftegaz,37
Herrington Carmichael Solicitors,GRP-IMS-1001317,State enterprise Universal Avia,41,The Great Don Army,40,Peace To Luhansk Region,40,ZELENODOLSK SHYARD,40,Army of the Southeast,38
Herbert Smith Freehills,GRP-IMS-1001318,Army of the South East,40,Resort Nizhnyaya Oreanda,38,Internet Research Agency,38,Army of the Southeast,36,Mostotrest Mostotrest,36
Healix Health Services Annual Admin Fee,GRP-IMS-1001319,Almaz Antey Defense,38,So called Lugansk People s Republic,38,Tactical Missiles,36,The Great Don Army,35,Industrial Savings Bank,35
Healix Insurance Services,GRP-IMS-1001320,First Crimean Insurance,54,Industrial Savings Bank,50,Internet Research Agency,49,Industrialny Sberegatelny Bank,47,Gas Industry Insurance Company SOGAZ,46
Healix Health Services,GRP-IMS-1001321,Death Battalion,43,ORIENTAL REVIEW,43,The Great Don Army,40,Smert Battalion,38,Sparkling Wine Plant Novy Svet,38
INCHCAPE MANAGEMENT SERVICES,AU-IAL-750001,Resort Nizhnyaya Oreanda,42,ORIENTAL REVIEW,42,Tactical Missiles,40,Movement Novorossiya of Ignor Strelkov,39,Almaz Antey Defense,38
CSC CORPORATE DOMAINS,AU-IAL-750005,Stroygazmontazh Corporation SGM Group,48,People s Union,46,VO Technopromexport,45,Free Donbas,44,Svobodny Donbass,43
NETRESULT MOBILITY,AU-IAL-750008,Mostotrest,57,Donetsk Republic,53,Mostotrest P,53,Donbas People s Militia,49,Donbass People s Militia,48
DOCUSIGN,AU-IAL-750033,Russia Bank,42,Luhansk Economic Union,40,Industrial Savings Bank,39,Sberbank of Russia,38,People s Union,36
WORKABLE SOFTWARE,AU-IAL-750035,Mostotrest Mostotrest,47,Mostotrest,44,ORIENTAL REVIEW,44,Bulwark,42,Mostotrest P,41
INFOTECH RESEARCH GROUP,AU-IAL-750046,Internet Research Agency,64,United Aircraft,42,558 Aircraft Repair Plant,42,Russian Direct Investment Fund,42,ORIENTAL REVIEW,42
HICRON,AU-IAL-750056,Death Battalion,38,United Aircraft,38,SOVCOMBANK,38,Luhansk Economic Union,36,Free Donbas,35
BLACKLINE SYSTEMS,AU-IAL-750067,Smert Battalion,50,Mir Luganschine,50,Somali Battalion,48,Sparta Battalion,48,Vostok Battalion,48
AEROTHERM SERVICE P L,AU-IAL-800011,Army of the Southeast,43,Army of the South East,42,Internet Research Agency,40,Federal United Enterprise Crimea Railway,39,ORIENTAL REVIEW,39
AFT PLUMBING SERVICES P L,AU-IAL-800012,Smert Battalion,45,So called Lugansk People s Republic,43,First Crimean Insurance,42,So called Donetsk People s Republic,40,Sparkling Wine Plant Novy Svet,40
ALINTA SALES P L,AU-IAL-800017,Somali Battalion,50,Kalmius Battalion,48,Donbas People s Militia,46,Smert Battalion,45,Donbass People s Militia,45
ICARE WORKERS INSURANCE,AU-IAL-800019,First Crimean Insurance,57,Gas Industry Insurance Company SOGAZ,47,State enterprise Universal Avia,44,Prizrak Brigade,42,Industrialny Sberegatelny Bank,42
ALLIANZ AUSTRALIA INSURANCE,AU-IAL-800020,First Crimean Insurance,64,Gas Industry Insurance Company SOGAZ,57,Industrial Savings Bank,56,Almaz Antey Defense,48,Concern Almaz Antey,48
ALLIED EXPRESS TRANSPORT,AU-IAL-800021,Lenpromtransproyekt,56,So called Luhansk Guard,51,So called Lugansk Guard,51,So called Donetsk People s Republic,47,Resort Nizhnyaya Oreanda,42
ALSCO PERTH,AU-IAL-800023,Death Battalion,54,VO TPE,47,Smert Battalion,46,Oplot Battalion,46,Sparta Battalion,44
ALSCO ENFIELD,AU-IAL-800024,ORIENTAL REVIEW,43,Free Donbas,42,Free Donbass,40,Luhansk Economic Union,40,ROSNEFT AERO,40
APM GROUP AUST P L,AU-IAL-800030,Army of the South East,50,Army of the Southeast,41,Mostotrest P,40,NEW EASTERN OUTLK,40,The Great Don Army,39
AUST SECURITIES AND INVESTMENT COMM,AU-IAL-800039,Russian Direct Investment Fund,55,First Crimean Insurance,45,Industrialny Sberegatelny Bank,43,Black Sea Bank Development and Reconstruction,42,Black Sea Bank of Development and Reconstruction,41
AUSTRALIA POST 144456,AU-IAL-800041,Oplot Battalion,50,Vostok Battalion,49,Smert Battalion,44,Kalmius Battalion,42,Industrial Savings Bank,41
AUSTRALIAN SIGN CLASSICS,AU-IAL-800050,Industrial Savings Bank,47,Somali Battalion,45,Kalmius Battalion,44,Industrialny Sberegatelny Bank,44,Tactical Missiles,44
BASWARE P L,AU-IAL-800055,Free Donbas,45,Bulwark,44,Free Donbass,43,Mostotrest P,43,Donbas People s Militia,41
BEACH CONSTRUCTION NSW P L,AU-IAL-800059,Black Sea Bank Development and Reconstruction,51,Black Sea Bank of Development and Reconstruction,49,Industrial Savings Bank,49,Sparta Battalion,48,Black Sea Bank for Development and Reconstruction,48
The Fruit Box Group,AU-IAL-800065,The Great Don Army,54,Army of the South East,44,Stroygazmontazh Corporation SGM Group,43,Army of the Southeast,40,ROSNEFT AERO,39
BUPA AUSTRALIA P L,AU-IAL-800067,Oplot Battalion,48,Sparta Battalion,47,Prizrak Battalion Ghost Brigade,45,Bank of Russia,44,Prizrak Battalion Ghost Battalion,43
BUPA WELLNESS,AU-IAL-800068,Free Donbas,42,Bank Rossiya,40,IS Bank,40,Donbas People s Militia,39,ZELENODOLSK SHYARD,39
CABCHARGE AUSTRALIA,AU-IAL-800069,Zarya Battalion,47,Sparta Battalion,46,Battalion Gvardeysky,46,Industrial Savings Bank,43,Death Battalion,41
CADGROUP AUSTRALIA P L,AU-IAL-800070,Oplot Battalion,49,Prizrak Battalion Ghost Brigade,45,Zarya Battalion,43,Sparta Battalion,42,NEW EASTERN OUTLK,41
CAPITAL CORPORATION PROPERTY MGMT,AU-IAL-800072,Stroygazmontazh Corporation SGM Group,54,Smert Battalion,50,Oplot Battalion,46,Research and Production Corporation UralVagonZavod,46,Sparta Battalion,45
CENTRIC ARCHITECTS,AU-IAL-800077,Internet Research Agency,48,Tactical Missiles,46,Mir Luganschine,42,558 Aircraft Repair Plant,42,Russian Direct Investment Fund,42
CHUBB FIRE SAFETY,AU-IAL-800079,CB IS Bank,44,United Aircraft,44,Free Donbas,43,Free Donbass,41,The Great Don Army,40
CIE LEGAL,AU-IAL-800080,Integral,59,Mir Luganschine,42,CB IS Bank,42,So called Luhansk Guard,38,So called Lugansk Guard,38
CITY OF MELBOURNE,AU-IAL-800083,Army of the Southeast,47,Army of the South East,46,Chernomorneftegaz,41,First Crimean Insurance,40,Almaz Antey Defense,39
CITY OF MONASH,AU-IAL-800084,Free Donbas,48,Army of the Southeast,46,Free Donbass,46,Army of the South East,44,Svobodny Donbass,40
COLLIERS INTERNATIONAL NSW P L,AU-IAL-800086,Cossack National Guard,50,Russian National Commercial Bank,48,Z Interavtomatika IA,48,International Union of Public Associations Great Don Army,46,Z Interautomatica,43
OFFICE OF STATE REVENUE QLD,AU-IAL-800088,ORIENTAL REVIEW,48,Peace To Luhansk Region,40,Almaz Antey Defense,39,Army of the Southeast,38,State Enterprise Sevastopol Commercial Seaport,38
COMPLETE OFFICE SUPPLIES P L,AU-IAL-800091,Fedosia Oil Products Supply,44,Army of the Southeast,41,Army of the South East,40,So called Donetsk People s Republic,38,So called Lugansk People s Republic,38
DATA TLS P L,AU-IAL-800104,Donbas People s Militia,46,Death Battalion,44,Donbass People s Militia,44,Oplot Battalion,44,Sparta Battalion,43
DELL AUSTRALIA P L,AU-IAL-800109,Death Battalion,48,Prizrak Battalion Ghost Brigade,45,Donbas People s Militia,44,Industrial Savings Bank,44,Donbass People s Militia,43
DREWDOPS,AU-IAL-800119,Free Donbas,53,Free Donbass,50,ZELENODOLSK SHYARD,38,People s Union,36,Donetsk Republic,33
ECLSE ENVIRONMENTAL AUSTRALIA P L,AU-IAL-800122,Cossack National Guard,44,Black Sea Bank Development and Reconstruction,44,Smert Battalion,42,Black Sea Bank of Development and Reconstruction,42,Luganskaya Narodnaya Respublika LNR,41
ELLEN BEERWORTH AND ASSOCIATES,AU-IAL-800123,Lenpromtransproyekt,45,International Union of Public Associations Great Don Army,44,Foreign Economic Association Technopromexport,43,NEW EASTERN OUTLK,43,State Enterprise Sevastopol Commercial Seaport,42
Shell Energy Retail,AU-IAL-800129,The Great Don Army,49,Army of the South East,44,State enterprise Universal Avia,44,NEW EASTERN OUTLK,44,Internet Research Agency,42
IDEA SCIENCE,AU-IAL-800133,First Crimean Insurance,51,Death Battalion,44,Mir Luganschine,44,Tactical Missiles,41,Industrial Savings Bank,40
FLEET MATTERS P L,AU-IAL-800139,Feodosia Enterprise of oil,47,NEW EASTERN OUTLK,47,Death Battalion,44,Smert Battalion,44,Oplot Battalion,44
FRESH AND CLEAN,AU-IAL-800144,Internet Research Agency,51,CB IS Bank,48,Resort Nizhnyaya Oreanda,46,The Great Don Army,42,First Crimean Insurance,42
ACCURRI,AU-IAL-800160,UAC,40,United Aircraft,36,RDIF,36,CB IS Bank,35,Cossack National Guard,34
JAS CONSULTING SERVICES P L,AU-IAL-800167,ORIENTAL REVIEW,48,Donbass People s Militia,43,Mostotrest P,41,Tactical Missiles,41,Donbas People s Militia,40
JB HI FI GROUP P L,AU-IAL-800168,Fedosia Oil Products Supply,40,558 Aircraft Repair Plant,37,Bank Otkritie Financial,34,The Great Don Army,33,Stroygazmontazh Corporation SGM Group,33
KPMG AUSTRALIA,AU-IAL-800178,Kalmius Battalion,52,Industrial Savings Bank,49,Smert Battalion,48,Oplot Battalion,48,Sparta Battalion,47
MAIL PLUS BAULKHAM HILLS,AU-IAL-800191,Donbas People s Militia,47,Donbass People s Militia,46,Kalmius Battalion,44,Mir Luganschine,41,Somali Battalion,40
MITREFINCH AUSTRALIA P L,AU-IAL-800200,Kalmius Battalion,44,Mostotrest P,44,Industrial Savings Bank,43,Death Battalion,41,Smert Battalion,41
MORETON BAY REGIONAL COUNCIL,AU-IAL-800203,Russian National Commercial Bank,50,Bank Otkritie Financial,47,Chernomorneftegaz,44,Donbas People s Militia,43,Peace To Luhansk Region,43
NORTON ROSE,AU-IAL-800214,ROSNEFT AERO,52,Mostotrest,48,Rostec,47,ORIENTAL REVIEW,46,Free Donbas,45
NORWEST NEWS,AU-IAL-800215,Mostotrest,55,ORIENTAL REVIEW,52,Mostotrest P,50,Mostotrest Mostotrest,48,Rostec,44
REVENUE NSW DEPARTMENT,AU-IAL-800219,ORIENTAL REVIEW,49,NEW EASTERN OUTLK,46,First Crimean Insurance,44,Donetsk Republic,42,Army of the South East,41
OPTUS NETWORKS P L,AU-IAL-800221,VTB Bank Public,42,Donetsk Republic,41,Mostotrest P,40,NEW EASTERN OUTLK,40,ROSNEFT AERO,40
OXYGEN BUSINESS SOLUTIONS P L,AU-IAL-800224,People s Union,42,Black Sea Bank for Development and Reconstruction,41,Black Sea Bank Development and Reconstruction,41,Stroygazmontazh Corporation SGM Group,39,Black Sea Bank of Development and Reconstruction,39
PARRAMATTA CITY COUNCIL,AU-IAL-800226,Sparta Battalion,56,Zarya Battalion,53,Kalmius Battalion,45,The Great Don Army,44,Prizrak Battalion Ghost Battalion,43
PAUL ALMOND EMPLOYMENT LAW P L,AU-IAL-800227,Oplot Battalion,40,Sparkling Wine Plant Novy Svet,40,Black Sea Bank Development and Reconstruction,40,Prizrak Battalion Ghost Brigade,39,Prizrak Battalion Ghost Battalion,38
PENTANA SOLUTIONS,AU-IAL-800230,People s Union,52,Somali Battalion,48,Sparta Battalion,48,Luhansk Economic Union,46,Peace To Luhansk Region,45
PRICE WATERHOUSE CPERS,AU-IAL-800242,NEW EASTERN OUTLK,41,ROSNEFT AERO,41,Federal United Enterprise Crimea Railway,39,Prizrak Battalion Ghost Brigade,38,Feodosia Enterprise of oil,38
IRON MOUNTAIN AUSTRALIA GROUP PTY L,AU-IAL-800250,Stroygazmontazh Corporation SGM Group,47,Oplot Battalion,44,Kalmius Battalion,42,International Union of Public Associations Great Don Army,41,Prizrak Battalion Ghost Battalion,41
RENTOKIL INITIAL P L,AU-IAL-800255,ORIENTAL REVIEW,51,GEOPOLITICA,45,Peace To Luhansk Region,42,Industrialny Sberegatelny Bank,40,Sparta Battalion,39
ROCKFAST INTERNATIONAL P L,AU-IAL-800258,Cossack National Guard,54,State Concern National Association of producers Massandra,48,Russian National Commercial Bank,48,Z Interavtomatika IA,48,Z Interautomatica,47
SECOM AUSTRALIA P L,AU-IAL-800264,Somali Battalion,51,Smert Battalion,47,Oplot Battalion,47,Vostok Battalion,46,Kalmius Battalion,44
SEEK,AU-IAL-800268,Sberbank,50,Free Donbas,40,Rostec,40,Free Donbass,38,NEW EASTERN OUTLK,38
SUEZ RECYCLING AND RECOVERY,AU-IAL-800272,Sparkling Wine Plant Novy Svet,46,Black Sea Bank for Development and Reconstruction,45,Black Sea Bank Development and Reconstruction,44,State Enterprise Sparkling Wine Plant Novy Svet,43,Black Sea Bank of Development and Reconstruction,43
SKYWIRE AUSTRALIA P L,AU-IAL-800274,Industrial Savings Bank,45,Smert Battalion,44,Battalion Gvardeysky,44,Somali Battalion,43,Sparta Battalion,43
SNAP PRINTING,AU-IAL-800275,Integral,48,First Crimean Insurance,44,United Shipbuilding,44,Sparkling Wine Plant Novy Svet,42,GEOPOLITICA,42
STULZ AUSTRALIA P L,AU-IAL-800286,Fedosia Oil Products Supply,48,Smert Battalion,47,Oplot Battalion,47,Somali Battalion,46,Sparta Battalion,46
SYDNEY WATER,AU-IAL-800289,ROSNEFT AERO,58,NEW EASTERN OUTLK,48,Svobodny Donbass,43,Integral,40,Concern Almaz Antey,39
TELSTRA,AU-IAL-800298,Integral,53,Sparta Battalion,43,TPE,40,Sberbank,40,GEOPOLITICA,36.36363636363637
UNITYWATER,AU-IAL-800319,United Aircraft,48,Bulwark,47,ROSNEFT AERO,45,Integral,44,NEW EASTERN OUTLK,44
UPSTREAM PRINT SOLUTIONS,AU-IAL-800320,People s Union,47,First Crimean Insurance,47,Stroygazmontazh Corporation SGM Group,46,Sparta Battalion,45,Mostotrest Mostotrest,44
VECTRA,AU-IAL-800324,VEB RF,50,VTB,44,VTB Bank,43,Sberbank,43,Integral,43
WEST RECRUITMENT CONSULTING P L,AU-IAL-800335,First Crimean Insurance,52,Stroygazmontazh Corporation SGM Group,44,United Shipbuilding,44,Sparkling Wine Plant Novy Svet,43,Russian Direct Investment Fund,43
WILLIS AUSTRALIA,AU-IAL-800336,Somali Battalion,50,Kalmius Battalion,48,Industrial Savings Bank,46,Smert Battalion,45,Oplot Battalion,45
WILLOUGHBY CITY COUNCIL,AU-IAL-800337,Luganskiy Ekonomicheskiy Soyuz,42,Luhansk Economic Union,40,Mir Luganschine,37,Russian National Commercial Bank,36,First Crimean Insurance,35
YARRA VALLEY WATER,AU-IAL-800343,Internet Research Agency,48,Zarya Battalion,42,558 Aircraft Repair Plant,42,Crimean Republican Enterprise Azov Distillery Plant,41,So called Luhansk Guard,39
GUARDIAN PROPERTY SERVICES,AU-IAL-800375,The Great Don Army,45,So called Donetsk People s Republic,43,So called Lugansk People s Republic,43,Russian Direct Investment Fund,43,Donbas People s Militia,41
ERNST AND YOUNG,AU-IAL-800376,First Crimean Insurance,47,Bank Rossiya,44,NEW EASTERN OUTLK,44,Army of the South East,43,Narodny Soyuz,43
RANDSTAD,AU-IAL-800384,Rostec,43,Russia Bank,42,Bank Rossiya,40,IS Bank,40,Industrial Savings Bank,39
BDO,AU-IAL-800395,Sobol,50,Dobrolet,36,Dobrolyot,33,VTB,33,Svobodny Donbass,32
PRECISION AUTOMOTIVE EQUMENT,AU-IAL-800406,Russian Direct Investment Fund,45,ORIENTAL REVIEW,42,Crimean Republican Enterprise Azov Distillery Plant,41,Black Sea Bank Development and Reconstruction,41,Luhansk Economic Union,40
PENRITH CITY COUNCIL,AU-IAL-800425,Bank Otkritie Financial,47,Concern Almaz Antey,46,Foreign Economic Association Technopromexport,43,The Great Don Army,42,People s Union,41
MAXIM S TRAVEL,AU-IAL-800452,Somali Battalion,47,Kalmius Battalion,45,Tactical Missiles,45,Integral,45,First Crimean Insurance,43
AUSTRALIAN HUMAN RESOURCES INSTITUT,AU-IAL-800457,Institute Giprostroymost Saint Petersburg,50,Russian Direct Investment Fund,49,First Crimean Insurance,45,Internet Research Agency,44,Prizrak Battalion Ghost Battalion,41
BENESTAR GROUP,AU-IAL-800460,NEW EASTERN OUTLK,52,ROSNEFT AERO,46,Narodny Soyuz,44,Oplot Battalion,41,Fedosia Oil Products Supply,39
MESSAGES ON HOLD AUSTRALIA,AU-IAL-800468,Industrial Savings Bank,49,Movement Novorossiya of Igor Strelkov,44,Army of the South East,42,Donbas People s Militia,41,Movement Novorossiya of Ignor Strelkov,41
FORESEECHANGE,AU-IAL-800471,Internet Research Agency,49,Mir Luganschine,43,Rostec,42,VO Technopromexport,38,Vneshekonombank,36
APPLE,AU-IAL-800493,TPE,50,People s Union,42,Almaz Antey,38,Donbas People s Militia,36,VO TPE,36
GRANT WAKEFIELD,AU-IAL-800496,ORIENTAL REVIEW,47,ROSNEFT AERO,44,Almaz Antey Defense,41,United Aircraft,40,State enterprise Universal Avia,39
MICHAEL PAGE INTERNATIONAL,AU-IAL-801450,Russian National Commercial Bank,48,Z Interautomatica,47,Cossack National Guard,46,Interavtomatika,44,Z Interavtomatika IA,43
NIGEL SMITH LEGAL,AU-IAL-801456,Integral,48,Donbas People s Militia,45,Smert Battalion,44,Donbass People s Militia,44,United Shipbuilding,44
